date,open,high,low,close,adj_close,volume
26-11-2021,173.8600006,173.8600006,174.6399994,167.0399933,167.7599945,6044100
29-11-2021,180.0800018,180.0800018,180.6999969,175.8999939,176.8800049,5317400
30-11-2021,172.5399933,172.5399933,180.6399994,170.9210052,176.4049988,10682700
01-12-2021,163.0800018,163.0800018,180.1300049,162.0299988,174.0099945,7645700
02-12-2021,169.6000061,169.6000061,170.2949982,160.4900055,161.3600006,5687600
03-12-2021,166.75,166.75,170.7299957,162.1399994,168.9799957,6460900
06-12-2021,180.8500061,180.8500061,181.9299927,162.8500061,167.2749939,9813800
07-12-2021,183.1399994,183.1399994,187.5,182.0200043,185.6100006,6264600
08-12-2021,186.4900055,186.4900055,187.5,182.1399994,186,4218700
09-12-2021,181.4600067,181.4600067,185.302002,179.2799988,182.0899963,3518000
10-12-2021,180.4199982,180.4199982,181.1000061,175.8540039,178.1499939,3980400
13-12-2021,171.0399933,171.0399933,180,168.8899994,178.25,7263700
14-12-2021,167.9600067,167.9600067,169.9100037,164.5,168.2980042,5660400
15-12-2021,168.1399994,168.1399994,168.9600067,160.1799927,167.6399994,6678500
16-12-2021,156.3800049,156.3800049,167.7299957,153.6000061,166.25,9415100
17-12-2021,157.9100037,157.9100037,158.3099976,149.4400024,154.6199951,24062400
20-12-2021,157.2299957,157.2299957,158.4799957,151,151.1600037,4639300
21-12-2021,165.6600037,165.6600037,167.2749939,158.3699951,159.5,6293500
22-12-2021,169.2899933,169.2899933,170.6799927,162.8000031,165.6799927,4802500
23-12-2021,171.3099976,171.3099976,171.9900055,166.8899994,170.5,4017400
27-12-2021,171.6799927,171.6799927,172.4299927,168.7799988,169.8059998,2725200
28-12-2021,169.7100067,169.7100067,172.7299957,167.7299957,171.3200073,2292600
29-12-2021,167.4400024,167.4400024,170.4799957,165.0200043,169.5200043,1995400
30-12-2021,168.7799988,168.7799988,170.8500061,165.7100067,167.0599976,2181100
31-12-2021,166.4900055,166.4900055,170.8699951,166.0800018,168.7799988,2596000
03-01-2022,172.6799927,172.6799927,172.8399963,165.2200012,165.2969971,4224900
04-01-2022,170.8000031,170.8000031,175.8999939,167.1999969,174.154007,4080000
05-01-2022,162.25,162.25,175.1069946,162.2400055,169.8829956,4804600
06-01-2022,159.75,159.75,163.7299957,156.3399963,160.2899933,5049600
07-01-2022,166.0500031,166.0500031,166.8800049,158.4550018,159.1799927,5624600
10-01-2022,160.7100067,160.7100067,161.6999969,152.1000061,159.7599945,6973600
11-01-2022,168.6100006,168.6100006,169.3899994,159.0780029,160.7100067,5331600
12-01-2022,169.5399933,169.5399933,171.0399933,165.1100006,170.2400055,3534300
13-01-2022,166,166,171.9900055,165.7649994,170.2330017,4893800
14-01-2022,163.9900055,163.9900055,167.6300049,160.2400055,165.75,4144000
18-01-2022,154.6900024,154.6900024,160.7899933,153.8699951,156.9100037,5775400
19-01-2022,154.5800018,154.5800018,160.2299957,154.4400024,157,5127400
20-01-2022,158,158,165.1999969,157.3500061,157.8079987,4941900
21-01-2022,156.7299957,156.7299957,160.1999969,152.4100037,156.8150024,7242300
24-01-2022,147.8999939,147.8999939,151.1600037,135.7599945,150,14606600
25-01-2022,144.5599976,144.5599976,147.3800049,140.1300049,143.8999939,5704900
26-01-2022,142.1399994,142.1399994,152.3999939,140.0410004,149.2850037,6990300
27-01-2022,138.4100037,138.4100037,145.5480042,137.9199982,143.4799957,4493800
28-01-2022,142.7700043,142.7700043,143.1100006,134.3739929,138.5449982,5604400
31-01-2022,153.9700012,153.9700012,153.9700012,143.8099976,144.8029938,5463000
01-02-2022,156.9400024,156.9400024,157.3899994,152.5,155.3500061,3799300
02-02-2022,151.7599945,151.7599945,156.5099945,150.7120056,156.3130035,3678300
03-02-2022,149.5700073,149.5700073,152.1799927,146.6799927,147.9700012,4577100
04-02-2022,155.5599976,155.5599976,157.2400055,150,150.1399994,4687700
07-02-2022,157.9100037,157.9100037,160.8800049,155.9499969,156.7899933,4690700
08-02-2022,162.2599945,162.2599945,163.0789948,153.4400024,154,4309100
09-02-2022,169.5299988,169.5299988,170.0700073,165.0800018,165.3699951,4868300
10-02-2022,171.9499969,171.9499969,177.0599976,165.2449951,165.2449951,8261400
11-02-2022,166.5299988,166.5299988,176.7400055,164.8300018,175.3090057,6464400
14-02-2022,169.6600037,169.6600037,171.8000031,165.0299988,166.6300049,4847600
15-02-2022,180.0700073,180.0700073,180.6320038,172.75,172.9199982,11733900
16-02-2022,186.6399994,186.6399994,191.7299957,178,178.2949982,22252900
17-02-2022,183.6000061,183.6000061,188.9799957,181.5399933,184.8999939,7779200
18-02-2022,174.8999939,174.8999939,182.6600037,173.6199951,180.2599945,8848800
22-02-2022,165.2400055,165.2400055,176.3800049,161.3200073,172.1300049,8392600
